excel_row,column,before,after,species_on_that_row
573,subfamily (A),,Epidendroideae,ophiocephala
575,genus (E),,Scaphosepalum,decorum
575,subfamily (A),,Epidendroideae,decorum
576,genus (E),,Scaphosepalum,digitale
576,subfamily (A),,Epidendroideae,digitale
577,genus (E),,Scaphosepalum,dodsonii
577,subfamily (A),,Epidendroideae,dodsonii
578,genus (E),,Scaphosepalum,ophidion
578,subfamily (A),,Epidendroideae,ophidion
580,genus (E),,Specklinia,calyptrostele
580,subfamily (A),,Epidendroideae,calyptrostele
581,genus (E),,Specklinia,corniculata
581,subfamily (A),,Epidendroideae,corniculata
582,genus (E),,Specklinia,dunstervillei
582,subfamily (A),,Epidendroideae,dunstervillei
583,genus (E),,Specklinia,endotrachys
583,subfamily (A),,Epidendroideae,endotrachys
584,genus (E),,Specklinia,fulgens
584,subfamily (A),,Epidendroideae,fulgens
585,genus (E),,Specklinia,grobyi
585,subfamily (A),,Epidendroideae,grobyi
586,genus (E),,Specklinia,juddii
